entity_id	business_name	business_address	country
S1-891230171	Vipan Novo (India) Care	Scf 14, Dhandari Kalan Urban Estate, Ludhiana, Punjab	India
S1-325507054	Kinchen Star Public LP	Templeton, 38 Elm Street, MA	US
S1-899547494	Hyderabad Food Corp	404, Susheel Classic Avenue, Tsiic Colony, Ida Jeedimetla, Hyderabad, Telangana	India
S1-323094864	US Gulf Consulting LLC	6820 Knob Hill Drive, Kingman, AZ	US
S1-913438094	Siddharth Institute of Technology	C/O Lila Devi, Adalatpur, Hajipur, Vaishali, Bihar	India
S1-105568631	Economic Development Coalition IV	189 Laurel Road, Arden, NC	US
S1-75867723	Perfect Consultants Private Limited	No.223, 21St Street, Krishna Nagar, Maduravoyal, Chennai, Thiruvallur, Tamil Nadu	India
S1-353270376	Shivani Chits (India) Pvt Ltd	B-16Second Floor Sector-64, Noida, Gautam Buddha Nagar, Uttar Pradesh	India
S1-263027135	Star Trusted Table	4975 Peyton Street, Keizer, OR	US
S1-966175337	Prairie Medical Center	3301 C Street, Unit STE 505, Anchorage, AK	US
S1-82599979	White Ses Inc	715 4th Street, Fl 1, Central Point, OR	US
S1-633969517	Urgent Care Partners L.L.C.	1726 Cottage Avenue, Unit APT 17, Indianapolis, IN	US
S1-347749340	Best Heartland Public Inc	149 Toler Hollow Road, Coal Mountain, WV	US
S1-418342318	Secure Aerospace Alliance LLC	1025 St Rte 534, Newton Falls, OH	US
S1-704399480	Kira Clary, L.C.S.W.	1509 2nd Street, Waynesboro City, VA	US
S1-814895902	Sampatchak Institute Company	C/O Moti Lal Singh At, Patel Colony Po Mahendru, Sampatchak, Patna, Bihar	India
S1-77837577	FN House Private Limited	B-92 Whs Kirti Nagar, New Delhi, North Delhi, Delhi	India
S1-420494522	Certified Mobility Labs LLC	2680 Golden Spike Road, Sauk Rapids, MN	US
S1-32509364	Delhi Developersprivate Pvt Ltd	Delhi, West Delhi, A- 69 Tagore Garden Extension, Delhi	India
S1-157050918	Bangalore South Schools Private Limited	416, 19Th Main, 1St Block, 2Nd Phase, Bda Layout, Bangalore South, Bangalore, Karnataka	India
S1-704160920	Aditya Global Pvt Ltd	Calcutta, West Bengal, Kolkata, 119 A Chittaranjan Avenue	India
S1-703030279	Sandoval Group	NY, 100 Edgewood Avenue, Buffalo	US
S1-312021607	Orbium Guaranty	15 Deerhaunt Drive, Cortlandt, NY	US
S1-58952647	Rathbun Assets LLC	6325 Ilium Road, Rio Rancho, NM	US
S1-51166377	Gujarat It	102, Gmk Apartment Samanpura Raja Bazar, Patna, Bihar	India
S1-466701080	Grants Pass Heart Network	47 Eastern Avenue, Unit 6, Grants Pass, OR	US
S1-117566641	Keystone Tokyo	3730 Irby Drive, Conway, AR	US
S1-652500702	Ahmadabad City Solutions Partners	995 Dev Sheri, Gomtipur Ahmedabad 10, Ahmadabad City, Ahmedabad, Gujarat	India
S1-602704013	Olanara Dental Inc	9225 Ahrens Road, Ashford, NY	US
S1-650449101	Shivam Power Private Limited	Maharashtra, Bl C 2, Nda Road, Dsk Ranavara, Aditya Shagun, Bavdhan., Pune, Flat 202	India
S1-42520307	Clough, Hoff and Martin LLC	1939 Silver Bell Road, Unit Unit 113, Eagan, MN	US
S1-331775081	Bharat Infra Private Limited	Ward No. 17, 23 S.P.M. Western Region, Khasra No. 7/2, Hoshangabad, Hoshangabad, Madhya Pradesh	India
S1-283911780	Maxine Kirsch, DPM	17236 1st Place, Phoenix, AZ	US
S1-832858750	Hernandez Enterprises LP	1407 23rd Street, Parkersburg, WV	US
S1-934961508	Eastern Marketing Limited	Flat 2C, Aspira Gulmohor Apartment Nandankanan East, Rahara, Khardah, Parganas North, West Bengal	India
S1-562380004	Ace Innovative Duke LLC	2512 Sonoma Valley Drive, Charlotte, NC	US
S1-568388680	Samatva India Private Limited	Punjab, Ludhiana, 269, Industrial Area- A Ludhiana	India
S1-967322290	Tri-State Kogyo, LLC	516 Main Street, Unit #C, Henderson, KY	US
S1-492194060	Lopez Holdings	1802 Harbert Avenue, Memphis, TN	US
S1-19778635	Kasna Technologies LLP	M-902, Plumeria Garden Estate Omicron-Iii, Greater Noida, Kasna, Gautam Buddha Nagar, Uttar Pradesh	India
S1-149880375	Lucky Diner	3232 Pine Needles Road, High Point, NC	US
S1-534804733	Royal Foundation Private Limited	Plot No.4, Teachers Colony, D.C.M. Ajmer Road, Jaipur, Rajasthan	India
S1-466989811	Zenith, LLC	7506 Glenvista Street, Houston, TX	US
S1-692697113	Shriyansh Textile Private Limited	Flat No Ax2/206, Green Dew Chs, Vbhc Complex, Devkhop, Palghar East, Palghar, Thane, Maharashtra	India
S1-918330984	Jones Metro Gravity LLC	AL, 3414 Blue Spring Road, Huntsville	US
S1-256455222	Capital Toyo, PC	145 Washburn Street, Lockport, NY	US
S1-47165380	Thompson Express Magna	40 Lorna Road, Unit 2, Boston, MA	US
S1-761226068	Back Alley Deli	4350 Shining Star Drive, Unit D, Sacramento, CA	US
S1-801681033	Glasper Sumitomo LLC	NC, Candler, 223 Roper Street	US
S1-408998966	Apex Restaurants P.C.	949 Virginia Street, Tucson, AZ	US
S1-258419186	New Delhi Sciences Private Limited	7149, D-7 Vasant Kunj, New Delhi, Delhi	India
S1-502026142	Kalp Hvac Private Limited	Flat No.15, 4/A, 6Th Floor, Golden Valley, Opp Canara Bank, Kalina, Mumbai, Maharashtra	India
S1-863356564	Ahles Berkley LLC	11101 Spartan Court, Sun City, AZ	US
S1-989202611	597 Lake Street Owners Corp Inc	1131 Kendrick Ford Road, Warren County, VA	US
S1-501424226	Saharanpur Tech Limited	Saharanpur, Village Ambehata Chand Post Badgaon, Uttar Pradesh, Saharanpur	India
S1-5985280	Good Properties Private Limited	801 Millenium Tower Omax Heights Vibhuti Khand Gomti Nagar, Lucknow, Uttar Pradesh	India
S1-536631961	Rudolph and Broad Terra	122 River Drive, Fishkill, NY	US
S1-252878852	Ruthy Mauldin Tax Corp	1182 Mule Hell Road, Wythe County, VA	US
S1-84164384	Hf Solutionsprivate Pvt Ltd	Plot No. 25 Shri Vihar Colony Sector 107, Noida, Gautam Buddha Nagar, Uttar Pradesh	India
S1-578984243	Manik Services (India) Private Limited	6-3-249/5/Aroad No.1 Banjara Hills, Hyderabad, Telangana	India
S1-742699243	Mullins Rio	941 Twin Branch Road, Pineville, WV	US
S1-172644389	Arihant Foundation Private Limited	Shop No-15, Kanth Complex, Opp. Paldi Bus Stand, Paldi, Ahmedabad, Gujarat	India
S1-680314106	Pediatric Dentistry Express Health	674 Pittman Creek Road, Burkesville, KY	US
S1-345359905	Zisonus Interests	5606 Dayton Drive, Unit 1, Cheyenne, WY	US
S1-382117003	Little Deli Associates	62 Woodlee Road, Staunton City, VA	US
S1-419895621	George J. Defrancisco, P.A.	2632 Ajs Arbor Drive, Huntsville, AL	US
S1-213106801	Johnson Priority	8110 155th Avenue, Vancouver, WA	US
S1-482959405	Bales Capital	Wichita, Fl 0, KS, 1408 Selma Avenue	US
S1-335615674	Buex	35127 Sara Court, Orange County, VA	US
S1-271685934	Enrica Garcia Federal Spruce, Inc	4700 Beech Drive, Fl 1, Beaverton, OR	US
S1-643098922	Universal Construction Pvt Ltd	Khasra No 267 (D-86) 100 Feet Road Chhatterpur Enclave, New Delhi, South Delhi, Delhi	India
S1-288537970	Ss Impex Private Limited	B 06, Pavitra Ro House Bhulka Bhavan Rd, Rander, Surat, Gujarat	India
S1-629588655	NCM Regency Pvt. Ltd.	2/5, Sarat Bose Road, Sukhsagar 7Th Floor, Kolkata, Kolkata, Howrah, West Bengal	India
S1-428120173	Exponential (India) Consultant Private Limited	Vadodara, Gujarat, 140 Ghb Scheme 83, Nr.Laxmingr, Laxmipura Rd	India
S1-836137713	Williams Better Commodity LLC	1441 34th Street, Des Moines, IA	US
S1-572662063	Silver Engineering Private Limited	Village Bamnetaluka Shahapur, Thane, Maharashtra	India
S1-218450420	Malad (W) Construction Limited	11101/1102, 11Th Floor, Swapna Lok Ii, Opp Adarsh Nagar, Marve Road, Malad (W), Mumbai, Maharashtra	India
S1-333114012	All Services Private Limited	101Ansal Bhawan Kasturba Gandhi Marg, New Delhi, Central Delhi, Delhi	India
S1-737640804	Gangesh Institute of Technology	H.No:16-11-20/13/5/A/B, Plot No:6, Lakshmi Nilayam, 5Th Floor, Sripuram Colony, Moosarambagh, M, Alakpet, Hyderabad, Telangana	India
S1-856769914	Products Jvh Developers Ltd	123/705 Factory Area, Kanpur, Uttar Pradesh, Fazal Ganj, Kanpur	India
S1-886816150	WYF Art Private Limited	7-14-6, 1St Floor, 2Nd Lane, Srinivasa Colony Kurnool Road, Ongole, Prakasam, Andhra Pradesh	India
S1-857618046	Box Network Private Limited	G-28 Midc Areasatara, Satara, Maharashtra	India
S1-714431393	ZQ Payments LLC	645 Fm 1796, D'hanis, TX	US
S1-591372958	Hazel Spataro Constellation LLC	230 Main Street, Unit Apartment 2, Herkimer, NY	US
S1-276101699	Pauletta Medina Adr LLC	3851 Cobble Ridge Drive, UT, Unit 5301, West Jordan City	US
S1-681897702	Regional Patriot Safe LLC	2227 Reeves Court, Clarkston, WA	US
S1-680007763	Chronister Dental Associates	7031 2nd Avenue, Birmingham, AL	US
S1-697014409	Alexander Cable	14 Mountainbrook Road, Asheville, NC	US
S1-495552394	Middletown Community Ministries LLC	4625 236, Middletown, IN	US
S1-844459279	International Estate Pvt Ltd	6/10 B(Opposite Meenakshi Garden, Tilak Nagar, New Delhi, Delhi	India
S1-145448545	Coastal Coalition	5210 Fm 1463, Fulshear, TX	US
S1-70450706	Sterling	1593 Birdsong Court, Blacklick, OH	US
S1-938854229	Green Frontier Healthcare	7009 Seth Barwise Street, Fort Worth, TX	US
S1-935881037	Eye Associates LLC	615 Lenore Street, Unit 312, Nashville, TN	US
S1-571651114	Certified Grand Spartacus, Inc	983 Blossom Road, MA, Fall River	US
S1-131490572	My Software Private Limited	Dedhia Nivas 1St Floorganesh Gawade Road Mulund West, Mumbai, Maharashtra	India
S1-860138594	Tamera's Midwest Tax Service	38245 Tumbleweed Lane, San Tan Valley, AZ	US
S1-694467155	Loomis Bright Solutions, LLC	1808 Town Creek Circle, TX, Fl 0, Weatherford	US
S1-275081563	Shree Global Limited	33, 2Nd Floor, Samanvay Status-2, Bil Canal Road, Atladara, Vadodara, Gujarat	India
S1-619830078	Zinet Israel	8343 Wexford Lane, Chattanooga, TN	US
S1-822403281	Polyfab College	H No.19-7, Plot No.7, Lsr Colony, Dammaiguda, Hyderabad, Telangana	India
S1-582245354	East Technologies Pvt Ltd	North 24 Parganas, Kolkata, 4/14 Rathtala Govt Colony, West Bengal	India
S1-37540843	Blue Creative Tech Pvt Ltd	Shop No. 6, Ranwar Road, Near Palm Residency, Behind Heritage Garden, Karnal, Haryana	India
S1-20211117	Om Solutions Private Limited	Grace Villanear St Annes High School Changanassery, Kottayam, Kerala	India
S1-286023109	Krishna Investment Pvt Ltd	443/A, 1St Floor, 1St Main Road, 12Th Cross Near Telephone Exchange, 4Th Block, Korama, Ngala, Bangalore, Karnataka	India
S1-166490713	Novay Rate	2801 Harrison Avenue, Unit UNIT 03, Harlingen, TX	US
S1-246153273	Metro Institute of Technology	MT, Butte-silver Bow, 1823 Thomas Avenue	US
S1-823177878	Alpha Marketing Pvt Ltd	A4 202, Yogi Palace Chs Limited, Yogi Nagar, Eksar Road, Borivali (W), Mumbai, Mumbai City, Maharashtra	India
S1-85351656	Vn Group of Companies	#39, Ngef Lane, 2Nd Floor, Suite No.763 Indiranagar, Bangalore, Bangalore, Karnataka	India
S1-348632919	Pediatric Colonial Associates LP	701 Thoreau Drive, Burnsville, MN	US
S1-540054011	Anand Consultancy Private Limited	Madhya Pradesh, C/O Dalsingh Dansingh, Katara Jhabua Road Para, Jhabua	India
S1-676600240	Ujjan Star Private Limited	Flot 503 Sri Tirumala, Elite Mailardevpally, Hyderabad, Telangana	India
S1-955118307	Grace Chapel LP	828 Farmer Avenue, Springfield, MO	US
S1-432203086	KZ Media Private Limited	B-92, G/F, Durga Vihar Devli Extn., New Delhi, Delhi	India
S1-493193236	Lahari Brothers Private Limited	Shop No. 2, Sharma Market Sector 37, Noida, Gautam Buddha Nagar, Noida, Uttar Pradesh	India
S1-454092103	Lumova Hall	5367 Casa Royale Drive, Fl 0, Saint Louis, MO	US
S1-919179983	Yelton Reliable Architecture Care	CT, Rocky Hill, 48 Orchard Street	US
S1-394629585	Bangalore North Media Private Limited	Bangalore, 8Th Cross, Nagappa Street, Muneshwara Block, Palace Guttahalli, Karnataka, No. 5Th, Bangalore North	India
