source1_entity_id	matched_entity_ids
S1-253903411	S2-614749359,S3-654427348,S3-150507887,S3-956776854
S1-451649719	S2-248017757,S3-289689863,S3-354920791,S3-477164224
S1-489956164	S2-821639286,S2-117560544,S3-319061712
S1-100517307	S2-327492002,S3-451147638,S3-936502397
S1-623281522	S2-777614229,S2-982013240,S2-906553726,S3-67107419,S3-486242082,S3-725281606
S1-185357528	S2-811442861,S2-738179540,S3-878180755,S3-612342690,S3-112029776,S3-120726283
S1-941860360	S2-795896295,S2-6804179,S2-447670025,S2-785679095,S2-621270347,S3-56420100
S1-605095385	S2-846711491,S3-176055419
S1-401494141	S3-136215
S1-132619617	S3-594456154
S1-640225059	S2-776062498,S3-27295384
S1-759219771	S2-751475343,S3-875808976,S3-435699459,S3-146998270,S3-177034741
S1-920485832	S2-356270016,S2-410987681,S3-321970352,S3-429370376,S3-351603035,S3-779596227
S1-301984798	S2-387491462,S3-622070928,S3-414588711
S1-519410265	S2-510836692,S2-592226368,S3-354413229,S3-36233545,S3-630987280
S1-762191865	S2-788413048,S3-332705980,S3-357768753
S1-805330097	S2-303786154,S3-946922397,S3-211175219
S1-107267900	S2-924147770,S3-26219628
S1-980376678	S2-19008621,S2-255405449
S1-554782722	S2-504562540,S3-662561965
S1-442665310	S2-713750691,S3-471422520,S3-446088036
S1-382399317	S2-389260693,S2-71905214,S3-606109397,S3-457631003
S1-190275655	S2-800526104,S2-549730860,S2-29943792,S3-402369808
S1-770273967	S2-246022324,S2-259390999,S3-816881088,S3-607148636
S1-849543699	S2-323463218,S2-570997440,S2-136331598,S3-551410993,S3-379487287,S3-923593360
S1-925672670	S2-455483475,S3-333716048
S1-909840395	S2-793889051,S3-238316653
S1-504446736	S2-68570690,S3-152367899
S1-190080798	S2-89745694,S2-978444288,S3-515501821,S3-611598739,S3-849039325
S1-196668262	S2-47282530,S2-813356278,S3-105621228
S1-229574890	S2-79371204,S2-408428656,S2-515436122,S2-266748285,S3-989685337,S3-578840591
S1-610510125	S2-708294172,S2-425808541,S3-320041418,S3-844305889,S3-770616960
S1-874469872	S2-754124588,S2-53734547,S3-249914777,S3-191981404,S3-444430739,S3-666019997,S3-969010408
S1-673544849	S2-770265364,S2-878880978,S2-271498296,S3-935801,S3-189522008,S3-928491518
S1-652793821	S2-72082789,S2-563434086,S2-15188230,S3-619962805,S3-61755987,S3-513435076
S1-837542041	S2-800568759,S2-835758891,S3-33069042,S3-812456709,S3-889809497,S3-368132362
S1-420395463	S2-578523734,S3-545115909,S3-728837908
S1-666748945	S2-468974209,S2-2863098,S3-364704488
S1-356489740	S2-94449384,S2-440974303,S3-5886827,S3-513049406
S1-947729861	S2-756224142,S2-875246455,S3-827123636,S3-218560681
S1-284788942	S2-273504237,S3-432563749
S1-208433843	S2-38116067,S3-956767532,S3-584506716,S3-31661155,S3-264047741,S3-337846205
S1-415456606	S2-544760260,S2-272824981,S2-552746042,S3-278540751,S3-822899039
S1-728814210	S2-461550676,S2-613217325,S2-259103799,S3-595930228,S3-580284534,S3-644637972
S1-729927785	S2-549632683,S3-385985528
S1-228642080	S2-209697635,S3-417536849,S3-272280923
S1-27756730	S2-555745376,S2-607733004,S2-980678561,S3-762947987,S3-603321833
S1-892536064	S2-338007293,S2-905378417,S2-609381956
S1-732374765	S2-365231183,S2-42152792,S2-368999833,S3-737811033,S3-144254332
S1-885693586	S2-33295207,S2-775529425,S3-772383893,S3-723794075,S3-155189632
S1-460401319	S2-245318642,S2-66778379,S3-684242115,S3-558837498,S3-133433744
S1-833767754	S2-35131890,S3-737783174,S3-547087413,S3-772081186,S3-343516864
S1-224290523	S2-591261393,S2-299832823,S3-769884184
S1-370682729	S3-864839689
S1-70442231	S2-154956498,S2-501988747,S3-654162646,S3-319078750
S1-524192950	S2-130812819,S3-70011923,S3-486187262,S3-806925602
S1-542491393	S2-423193107,S3-218039619,S3-939052195
S1-182239781	S2-655730659,S2-749412613,S2-144156959,S3-624226762,S3-722701344,S3-550802669
S1-88528946	S2-961730887,S2-69199286,S3-196071987
S1-900472736	S2-669375365,S3-118822193,S3-469091286
S1-220059099	S2-971363543,S2-420219758
S1-69662765	S2-466582302,S3-545312370,S3-156595040
S1-677991820	S2-127736375,S2-715846707,S3-998663478,S3-91216897,S3-939619799,S3-283174647
S1-97113603	S2-862768785,S2-275039540,S3-717450770
S1-657151890	S2-624121766,S2-917062619,S3-507801765,S3-74083051
S1-109347037	S2-726813496,S2-728715674,S3-605380273,S3-711486909,S3-974349491
S1-43211670	S2-419041428,S2-744547364,S2-475755828,S2-552452513,S3-138553660
S1-421313990	S2-915754584,S3-884579927,S3-400241574,S3-292687355
S1-131712176	S2-371598868,S2-58582364,S2-893216485,S3-689981423,S3-306949929,S3-457387097,S3-725827527
S1-489378292	S2-698543371,S2-228764643,S3-764508992
S1-404289697	S2-851060697,S2-147697627,S2-341789752,S3-239014984,S3-663922532
S1-102457318	S3-402527605
S1-973784258	S2-420471765,S2-672732223,S3-657727575,S3-149772212,S3-839621277
S1-610045807	S2-167147670,S3-849802609,S3-873420669
S1-921163385	S2-4799862,S2-450351209,S3-231452719
S1-451446950	S2-736061271,S2-40092330,S3-434362224,S3-722918593,S3-199868974
S1-245781079	S2-35142017,S2-873707760,S3-118752981,S3-789092626,S3-482925875,S3-244388059
S1-79348905	
S1-966983442	
S1-239575794	
S1-963139360	S2-940058704,S3-344037232
S1-664538748	S2-266375011,S2-767507273,S2-854380478,S3-905392785,S3-471127841,S3-758120351
S1-400742931	S3-452568132,S3-924047695,S3-555101678,S3-905461445,S3-200377593
S1-116929405	S2-40008649,S2-642627622,S2-606239582,S2-63983236,S3-436689861,S3-610365463
S1-544862368	S2-585501482,S2-565023974,S2-812951493,S3-457644539,S3-890921522
S1-296461667	S2-790631888,S2-143555694,S3-414625788
S1-559060556	S2-39227849,S2-565671320,S2-89043144,S2-2381849,S3-922333121,S3-538058458
S1-928310667	S2-751883079,S2-303504715,S2-683408581,S3-723498002,S3-475006841
S1-375333010	S2-409377174,S2-478512106,S2-6008293,S3-543045088,S3-831339061
S1-732374884	S2-505869110,S3-417724643,S3-170570738,S3-912730847
S1-902002553	S2-848151427,S3-600502038
S1-360124137	S2-523471007,S2-394845507,S2-374122342,S3-637937196,S3-955298254,S3-432850912
S1-472219635	S2-884697776,S2-94006436,S3-520563007,S3-938789209,S3-460928690
S1-300794758	S2-47169456,S2-548685249,S3-676925794,S3-581704087
S1-85617707	S2-517104162,S3-57923791,S3-726019643,S3-438164874
S1-713398366	S2-631390507,S2-993512685,S3-284926862,S3-542976307
S1-817703731	S2-769228553,S3-500128210,S3-322527882,S3-700944046,S3-515080281
S1-738791062	S2-367732714,S2-405701722,S3-186515439,S3-330626646
S1-609764415	S2-423574276,S3-485404316
S1-161671316	S2-453870155,S2-878943167,S3-135880565,S3-376531775
S1-39381796	S2-837223930,S3-904901067
S1-956732059	S2-371908906,S3-297409451,S3-113306423
S1-806470281	S2-267895106,S3-989465290,S3-495111388,S3-130281158
S1-211635723	S2-593435070,S3-992948472
S1-347624389	S2-788794508,S2-361309739,S3-663439869,S3-501495918
S1-352752494	S2-473701633,S2-698818649,S3-489240860,S3-728849481,S3-69769922,S3-296194869
S1-392053769	S2-444845832,S2-384923813,S3-313982833
S1-937885990	S3-850441491,S3-23142771
S1-704228163	S2-870811885,S3-567558486
S1-28762548	
S1-939949427	S2-193529300,S3-970318182
S1-913422212	S3-286027327
S1-805626307	S2-608681954,S2-777341211,S2-311789399,S2-615640187,S3-848402294,S3-197752656
S1-268573273	S2-139544269,S2-727337590,S3-712802472,S3-705862811
S1-775589959	S2-608152734,S2-934315970,S3-366367827,S3-346394972,S3-53503048
S1-814990508	S2-190568206,S2-782239430,S3-541753516,S3-164573875
S1-143597809	S2-162763788,S2-967305309,S3-226322717
S1-307006298	S2-77505551,S2-552337501,S3-728852977,S3-265522109
S1-795013082	S3-579255544,S3-255663613,S3-434353263
S1-541980335	S2-867897128,S3-652562024
S1-161829828	S3-480040036
S1-27142903	S2-216981508,S2-498778406,S2-283396217,S3-370031919,S3-688938312
S1-227425791	S2-250491732,S2-633794048,S3-116866023,S3-455391993
S1-475689625	S2-189653602,S2-895156444,S2-867983819
S1-596988080	S2-233543,S3-380265188
S1-580854768	S2-841048179,S2-937550610,S2-984015157,S3-851269333
S1-776305842	S2-707086368,S2-24795198,S3-19693950
S1-441520740	S2-402943826,S3-411043069
S1-780638458	S2-180028584,S2-276521368,S2-897152872,S2-856293663,S3-263747068
S1-426680882	S2-543669258,S3-220839450,S3-464949578,S3-936573592
S1-511262674	S2-380775989,S2-883005085,S3-181928484,S3-354245028,S3-956180840
S1-872474399	S2-502189206,S2-108686053,S3-108681442,S3-589712170
S1-998404378	S2-345633304,S2-182931926,S3-758787282,S3-593076698,S3-625137357
S1-582664909	S2-556909027
S1-7723729	S2-429209035
S1-322248246	S2-599975490,S3-794619399,S3-191391476,S3-604191368
S1-703058200	S2-827211986,S2-548417486,S2-508193693,S2-389259363,S3-329952111,S3-329670284
S1-349828269	S2-613356318,S3-677493337
S1-224361062	S2-940989056,S2-867488601,S2-663663161,S3-702016371
S1-646564532	S2-694645531,S2-511946988,S3-356098531,S3-458267890,S3-7639535,S3-722293334
S1-287541726	S2-38487138,S2-553899317,S2-988436899
S1-837759376	S2-375075773,S3-760783884
S1-596542776	S2-356454850,S2-20059946,S3-351026414,S3-381016965
S1-189663062	S2-416752790,S3-208737582,S3-99542374,S3-839490701
S1-742741871	S2-349470169,S3-681931182,S3-725250242
S1-13374672	S2-993687267,S2-3354926,S3-601440567
S1-942701241	S3-119005416,S3-912680389
S1-24588920	S3-911740636,S3-291768571,S3-700941711
S1-596142948	S2-711074224,S2-838798826,S2-447598326,S3-586052601
S1-541011853	S2-752593631,S2-761165956,S3-612188416,S3-684125134,S3-415304294
S1-465503570	S2-859724,S3-243711809,S3-468494285,S3-194525693,S3-766269818
S1-239220133	S2-39235903,S3-95126186,S3-747863494,S3-447130521,S3-636073349
S1-247790835	S2-49858289,S2-788004194,S3-971452402,S3-775668358,S3-852599897,S3-492922930
S1-835190749	S2-618666926,S2-963082790,S2-12459569,S3-576078135,S3-767474595
S1-791737059	
S1-800751486	S2-103065548,S2-858880165,S3-704620259,S3-733371580
S1-993650911	S2-7221702,S2-534574663,S3-320866010,S3-31796790,S3-76264006
S1-749267113	S2-828908046,S2-107040987,S3-758759198
S1-905533273	S2-585582209,S2-721266708,S3-465592404,S3-407178114,S3-208556964,S3-807328948
S1-512889766	S3-474190879,S3-766544372,S3-482522094
S1-194230101	S2-564707664,S2-89131100,S2-410692088,S3-646786161
S1-832157141	S2-983606879,S2-241284600
S1-410284623	S2-727318122,S3-90694884
S1-951678369	S2-315819865,S2-870664236
S1-548173739	S2-557915584,S3-117659799,S3-113204136
S1-573099358	S2-698437406,S2-887552706,S2-891382650,S3-285376363
S1-541662178	S2-424508379,S2-340871820,S2-984909966,S3-405188789,S3-572051347
S1-483002269	S2-72038251,S2-276989037,S2-702416722,S2-140590205,S2-716335718,S3-202251928,S3-672779469,S3-254706446
S1-267776349	S2-934573433,S2-758879512,S2-922555537,S3-691216911
S1-998038166	S2-928811549,S3-289323393
S1-960938668	S2-708583609,S3-951187495,S3-425299807
S1-528606956	S2-68587625,S2-567279163,S3-771323610,S3-739929946
S1-615120827	S2-13738361,S2-51483418,S3-768160435,S3-511512899
S1-265778936	S2-166153023,S2-803023592,S2-976131554,S3-325001906,S3-418032162,S3-848917927
S1-676731953	S2-562739621,S2-742855062,S3-2939297,S3-793661143
S1-882738333	S2-969512106,S3-163396996
S1-103069293	S3-284655286
S1-518227259	S3-36201239
S1-69548894	
S1-745020892	S2-798981551
S1-877042064	S2-672478738,S3-227543133,S3-479071682
S1-413342938	S2-425318502,S3-944448818,S3-385501043,S3-93917868
S1-2498176	S2-362489970,S3-709758016,S3-386214891
S1-464201448	S2-180375330,S3-143687834,S3-975224856,S3-812568298
S1-119720775	S2-667676743,S3-718092057
S1-171377563	S3-645354743
S1-539531424	S2-909315048,S2-967701274,S3-132160525,S3-799962838,S3-95725558
S1-316198249	S2-867851019,S3-498836486
S1-272009402	S2-919456861,S2-402428134,S3-978075841,S3-366162466,S3-295410960
S1-503957501	S2-646949120,S2-110521853,S3-755926869,S3-181423094
S1-677655069	S2-400605080,S3-361201190,S3-317405661,S3-114178445,S3-595862828
S1-305420066	S2-244871069,S3-119133173,S3-588141065
S1-865968474	S2-735577906,S2-801509414,S2-46963561,S2-92758684,S3-229729206
S1-334222600	S2-747084062,S2-963886152,S3-853901644,S3-901334074
S1-532502121	S2-214339413,S2-819195093,S3-523312534,S3-581295219
S1-772150173	S2-849794469,S2-464830617,S3-447911163,S3-331159528
S1-232978292	S2-123237967,S2-689175737,S2-673377690,S3-818147807,S3-73299293
S1-724528308	S2-846560899,S2-470524293,S3-669178398
S1-962934043	S2-357869646,S2-337857496,S3-83210552
S1-55715487	S2-723955128,S3-371871667,S3-744207483,S3-256651653,S3-53319843
S1-776957997	S2-259358218,S3-725287019,S3-883007352
S1-686406047	S2-549406418,S2-782579289,S3-99402430,S3-472854344
S1-466074131	S2-146792224
S1-435163680	S2-325813698,S3-182335637,S3-90162374
S1-176712381	S2-212963205,S2-532141242,S3-130780046,S3-544493022
S1-602590500	
S1-244723389	S2-360783198,S2-123160256,S3-209517333,S3-646630077
S1-940737597	S2-948368497,S3-437256046
S1-598928378	S2-439651192,S2-347838495,S2-659593471,S2-55379283,S3-359280953,S3-71625662
S1-587681015	S2-688697384,S2-848934694,S2-322781238,S3-680251972,S3-364530916,S3-763650988
S1-932871587	S2-834128276,S2-941400089,S3-901986130
S1-431443216	S2-87857321
S1-567541348	S2-826612201,S3-656698748,S3-509281290
S1-766805219	S2-282871878,S2-269569883,S3-13823846
S1-406411080	S2-42308543,S2-913479271,S2-786485805,S2-781127061,S2-982812509,S3-400979581
S1-738609535	S2-555931223,S2-500657414
S1-424812889	S2-315224557,S2-665316026,S3-281464040,S3-881234602
S1-687846051	
S1-499868468	S2-34416073,S2-77282544
S1-789270444	S2-124705392,S3-547621175
S1-631006621	S2-503647013,S3-210505362,S3-3263534,S3-967174168
S1-315492120	S2-924676254,S2-717979890,S3-579179184
S1-479654940	S2-766472320,S2-864184547,S2-848959892,S3-926941257,S3-221105914,S3-795800101,S3-910072092
S1-141924856	S2-711412883,S2-621097238,S2-405013819,S3-209560112
S1-428041252	S2-360385940,S3-313720592,S3-310191492,S3-694625563,S3-941196980,S3-357742383
S1-579904966	S2-545670576,S2-15244075,S2-299595226,S3-724005046
S1-784539478	S3-791716187,S3-827630144,S3-561324568
S1-256294247	S2-751974936,S2-336087266,S2-203279738,S3-22692368,S3-269148275
S1-635981809	S2-867953926,S3-941529953,S3-210305508,S3-659875660
S1-878542817	S2-493056942,S2-845273275,S3-638482003,S3-499114947,S3-129609372,S3-587999538,S3-811589032
S1-121662589	S2-799169327,S2-582632454,S3-404915788
S1-36208538	S2-607852577,S2-135657558,S3-606127916,S3-85818472
S1-515260719	S2-68769541,S3-257983852,S3-452583757
S1-483715802	S2-799223001,S2-827598743,S3-171396287
S1-240089040	S3-724096519,S3-98951320
S1-937270142	S2-718711877,S3-38930191,S3-845231137
S1-498773347	S2-333351111,S2-986003377,S3-320474295,S3-542821568
S1-830864109	S2-217491241,S2-777416672,S2-624727711,S3-159746326,S3-579181026,S3-707176091,S3-152830660
S1-503571997	S2-703622104,S3-437040808,S3-935554578
S1-581954611	S2-905370717,S2-977952543,S2-16239285,S3-844635447,S3-436268619
S1-950928533	S2-711797297,S2-243161736,S2-456761237,S3-989591681,S3-661908588
S1-311940741	S2-930163835,S3-516011380,S3-789387673
S1-898667491	S2-709072776,S3-627661285
S1-476831488	S2-275669313,S3-182056927,S3-171060615
S1-677699357	S2-886732289,S2-251877358,S2-239879485,S3-367045681
S1-469102606	S2-136640303,S3-981692572,S3-592478373,S3-885574008
S1-850199420	S2-762757508,S3-611450804
S1-796466972	S2-70469320
S1-672009799	S2-230129469,S2-409862931,S3-89582201,S3-703290482,S3-349690985
S1-258531529	S2-352116283,S2-212177470,S2-721614335,S3-288299542
S1-597396636	S2-490141050,S2-91143797,S3-394414192
S1-979007980	S2-664416186,S2-525125289,S3-967978689,S3-195290518
S1-25155599	S2-742868482,S3-444413705,S3-501548407
S1-717646377	S2-606310128,S2-551015029,S3-276630118,S3-564065500
S1-472678371	S2-462585085,S2-144001095,S2-955882499,S2-507404889
S1-902018292	S2-486632435,S2-913727509,S3-156386206,S3-653119815
S1-938995927	S2-607950072,S3-83075904
S1-196201570	S2-29892224,S3-955130593
S1-833673416	S2-481736808,S2-899637349,S3-263340876,S3-471017053,S3-663590988,S3-232585516
S1-38248243	S2-221834818,S3-982911938,S3-3822415
S1-103936120	S2-275330157,S2-774856709,S3-421593539
S1-422604178	S2-399569699,S2-259995308,S2-73995764
S1-889811311	S2-397373419,S2-86574923,S3-53124527
S1-215354145	S2-505736518,S3-950580462
S1-571194602	S2-745116277,S2-577664038,S3-861105559
S1-809445753	S2-264393016,S3-792123472,S3-436227548,S3-616753663
S1-645513574	S2-316337951,S2-42388795,S2-795419062,S3-150604129
S1-935470562	S2-804516027,S2-900815069,S3-528088462
S1-735736835	S2-252341485,S2-189249026,S3-84219371
S1-77541292	S2-991065573,S2-361342825
S1-575339908	S2-101395313,S2-9548652,S3-713144648,S3-245315942
S1-898275374	S2-840825782,S2-723312313,S3-5644729
S1-265702453	S2-837701396,S3-858693117,S3-151144398
S1-978068589	S3-201996024,S3-433079976,S3-675460611,S3-223613956
S1-854973920	S2-507209028
S1-584609578	S2-974687539,S2-33927521,S3-423134830,S3-138961566
S1-516946648	S2-721679979,S2-713947133,S3-937560210,S3-427022581
S1-374841342	S2-247550314,S3-694527139,S3-888827494,S3-700969556
S1-10639811	S2-231238421,S2-92869281,S3-312234958
S1-504381533	
S1-815771805	S2-605875167,S3-970693438
S1-229656293	S2-455234910,S3-230390781
S1-172123772	S2-778083203,S2-831784456,S2-95748943,S3-541999194,S3-154078642,S3-925456302,S3-575909252
S1-413878302	S2-724659872,S3-530209788
S1-663621620	S2-987590239,S2-487245946,S3-823064560
S1-89545333	S2-471743935,S3-499959015,S3-300321894
S1-735091928	S2-761903301,S2-603523399,S2-32934787,S2-369619060,S3-718014061,S3-808918913
S1-85478968	S2-589886262,S2-888664329,S3-683228659
S1-590083928	S2-159632526,S2-314206624,S3-324632046,S3-888472825
S1-244225517	S2-72183385,S3-756622505,S3-180868747
S1-662998007	S2-48504936,S2-23805758,S2-739402146,S3-66202727
S1-939045632	S2-985915024,S3-476305802,S3-246536420
S1-622853869	S2-985842075,S3-432353363,S3-728269590
S1-129088147	S2-666628100,S2-414624283,S2-188015326,S3-481255380,S3-559994828
S1-465184116	S2-875063343,S2-451644092,S3-422971751,S3-474627172,S3-876670506
S1-969153658	S2-816187366,S3-984827224,S3-287090476
S1-761328752	
S1-861350543	S2-138931165,S3-730344938,S3-181711233,S3-537929987
S1-305188593	S2-983148894,S2-414392921,S2-525824128,S3-226967266
S1-126164793	S2-918683063,S2-939299911,S2-872730369,S2-536679327,S3-18850338,S3-527022268
S1-394619513	S2-588623016,S2-7374106,S2-750774773,S3-851166923,S3-696418151,S3-380171010,S3-156435273
S1-584898715	S2-761607,S2-947231131,S2-1941543,S3-463627756,S3-850198825
S1-858704104	S2-477695106,S3-972592615
S1-513968003	S3-284092220,S3-568336186
S1-95437790	
S1-779877069	S2-83037223,S2-159071399
S1-870334409	S2-174831839,S2-306932669,S2-763537866,S3-99513876
S1-616566605	S2-408639750,S2-726402380,S3-750932991,S3-886007499
S1-545052590	S2-255471631,S2-537024508,S3-704792228,S3-747194889,S3-908787788,S3-864190129,S3-192957225
S1-828992321	S2-446288013,S2-550900279,S3-986526185,S3-867650697
S1-114011157	S2-722621978,S3-787075427
S1-505098977	
S1-357424667	S2-71460422,S2-931202347,S3-399839281,S3-929143377,S3-253111219,S3-760468044
S1-463840477	S2-300616718,S2-19905283,S3-868274835,S3-588877887,S3-954702358
S1-575816887	S2-862108495,S3-342454770
S1-691258462	S2-241470329,S2-187210281,S3-354430885,S3-539322808,S3-62813561,S3-681145799
S1-841275752	S2-391688708,S2-262830118,S2-2948604,S3-467197335,S3-995410713,S3-43374200,S3-99481032
S1-701181709	S2-175051097,S3-527648241,S3-591710833
S1-766500746	S2-839864395,S3-256277188
S1-97181481	S2-348470333,S3-265760143,S3-478399569
S1-570229405	S3-636013349,S3-759188062
S1-765888353	
S1-413017315	S2-395215144,S3-896755945
S1-492969445	S2-217385254,S2-63710571,S3-803809089
S1-815873246	S2-843923802,S2-864167926,S2-835850178,S3-388767517,S3-890469539
S1-712450634	S2-697476456,S3-968116440,S3-180307798
S1-501418989	S2-223678507,S3-892796314
S1-487725241	S2-180280932,S3-635187815,S3-108923408,S3-185501421
S1-25407590	
S1-798655306	S2-388002845,S3-491391950,S3-744639590
S1-798614243	S2-657470970,S3-445342722
S1-229740967	S2-338085364,S2-136527097,S2-200098053,S2-178545240,S3-687954005,S3-160042185
S1-15554340	S2-145019770,S3-640751958,S3-573237417
S1-519354288	S2-127408831,S2-926268038,S2-319357884,S3-613538147,S3-182723849,S3-568777791
S1-541010282	S3-392395854
S1-92175403	S2-905758886,S3-260163024
S1-844992507	S2-48660335,S2-749571642,S2-17971984,S3-456844399,S3-89651089
S1-34777510	S2-670381678,S2-649903792,S3-64936328
S1-357770249	S2-90512273,S3-699584896,S3-412586149,S3-450163478
S1-115095576	S2-568443727,S2-685175984,S3-187928201,S3-953311716
S1-273932196	S2-14665532,S2-162187120,S3-949341466
S1-232073030	S3-509500368
S1-26567993	S2-580263951,S2-90606444,S3-179400379,S3-772849769,S3-922427384
S1-100502835	
S1-147805888	S2-618059339,S2-54629063,S3-893210409,S3-649054241
S1-258319940	S2-482417258,S2-311811411,S3-620178785,S3-449092656,S3-488563354,S3-516640290
S1-11993559	S2-237166386,S2-593859293,S3-314517852,S3-799179728
S1-162511044	S3-138110233
S1-81251890	S2-652920066,S2-416149707,S3-479190483
S1-289725508	S2-816176203,S3-364171068
S1-179187000	S2-34496139,S3-814185756,S3-5389476,S3-972181561,S3-837889040,S3-576013663
S1-383722873	S2-363355149,S2-665592552,S2-607056535,S3-406740856,S3-944647868
S1-614538636	S2-668592603,S2-859589679,S2-963183805,S3-908928589,S3-823955906
S1-145448545	S2-593810576,S3-389024131
S1-918282349	S2-94233596,S2-293750367,S3-360223350,S3-196850571,S3-826112250,S3-797795083
S1-323454871	S2-829188174,S2-87457418,S2-344224217,S2-965680866,S3-97243378,S3-792724428
S1-401499177	S2-817417722,S2-424137419,S3-283683041
S1-423662230	S2-848311974,S3-528906798
S1-826627243	
S1-264390254	S2-872688612,S2-561297401,S2-304351657,S3-231793439,S3-765250912
S1-818610163	S2-200538849,S3-114597322,S3-303578916
S1-545572670	S2-228302982,S2-820220584,S2-893822757,S3-85363154
S1-973835299	S2-789223994,S3-105494029,S3-208903839
S1-58242382	S2-376171389,S3-16452031
S1-478021884	S2-832013166,S2-873767988,S3-483366021,S3-191777537
S1-672145797	S2-564785971,S3-858492772
S1-991416882	S2-596836918,S2-831887982,S2-359445092,S2-288643674,S3-719800536
S1-886488950	S2-215361123,S2-514255523,S2-241829327,S3-465185414
S1-493193236	S2-795169870,S3-464830319
S1-384288104	S2-808109173,S2-573193922,S2-996093838,S2-781376665,S3-804240471,S3-136469626
S1-317539737	S2-151691134,S2-478839896,S3-911631111
S1-600050186	S2-525636089,S2-327135472,S2-896947166,S3-854745687
S1-124645245	S2-149767440,S2-59000138,S3-133324385,S3-952700962
S1-71656643	S2-305005427,S3-363237071
S1-620245382	S2-391007500,S2-5472150,S3-846148960
S1-153052378	S2-57090340,S2-260175068,S2-5429444,S3-927603575,S3-40942780
S1-433698295	S2-448125789,S3-565671075
S1-984591654	S2-90635331,S2-976712116,S3-825874115,S3-521601059
S1-135018793	S2-900897961,S2-799881295,S3-190763464
S1-314545436	S2-739441898,S3-199449879,S3-122130305
S1-321474731	S2-623005735,S2-203480763,S2-358412134,S3-115206517,S3-642908212
S1-940601866	S2-295451619,S3-361481268,S3-343599692,S3-335301286
S1-273894151	S2-285830230,S2-207141010,S2-170496715,S3-49572669
S1-859978210	S2-273968073,S2-880849698,S2-705523254,S2-120871036
S1-712049302	S2-156789832,S3-817127527,S3-113795070,S3-419894485
S1-992502007	S2-302250895,S2-569217146,S3-874173237
